date,Adj Close,Close,High,Low,Open,Volume
31/5/2022,146.0453796,148.8399963,150.6600037,146.8399963,149.0700073,103718400
1/6/2022,145.9178467,148.7100067,151.7400055,147.6799927,149.8999939,74286600
2/6/2022,148.3708649,151.2100067,151.2700043,146.8600006,147.8300018,72348100
3/6/2022,142.6503601,145.3800049,147.9700012,144.4600067,146.8999939,88570300
6/6/2022,143.3961029,146.1399994,148.5700073,144.8999939,147.0299988,71598400
7/6/2022,145.9178467,148.7100067,149,144.1000061,144.3500061,67808200
8/6/2022,145.1819,147.9600067,149.8699951,147.4600067,148.5800018,53950200
9/6/2022,139.9618225,142.6399994,147.9499969,142.5299988,147.0800018,69473000
10/6/2022,134.5552673,137.1300049,140.7599945,137.0599976,140.2799988,91437900
13/6/2022,129.4038239,131.8800049,135.1999969,131.4400024,132.8699951,122207100
14/6/2022,130.2672882,132.7599945,133.8899994,131.4799957,133.1300049,84784300
15/6/2022,132.8871765,135.4299927,137.3399963,132.1600037,134.2899933,91533000
16/6/2022,127.6180115,130.0599976,132.3899994,129.0399933,132.0800018,108123900
17/6/2022,129.0898285,131.5599976,133.0800018,129.8099976,130.0700073,134520300
21/6/2022,133.3189087,135.8699951,137.0599976,133.3200073,133.4199982,81000500
22/6/2022,132.8086853,135.3500061,137.7599945,133.9100037,134.7899933,73409200
23/6/2022,135.6738586,138.2700043,138.5899963,135.6300049,136.8200073,72433800
24/6/2022,139.0001831,141.6600037,141.9100037,139.7700043,139.8999939,89116800
27/6/2022,139.0001831,141.6600037,143.4900055,140.9700012,142.6999969,70207900
28/6/2022,134.859436,137.4400024,143.4199982,137.3200073,142.1300049,67083400
29/6/2022,136.6158447,139.2299957,140.6699982,136.6699982,137.4600067,66242400
30/6/2022,134.1529388,136.7200012,138.3699951,133.7700043,137.25,98964500
1/7/2022,136.3214569,138.9299927,139.0399933,135.6600037,136.0399933,71051600
5/7/2022,138.9020691,141.5599976,141.6100006,136.9299927,137.7700043,73353800
6/7/2022,140.236557,142.9199982,144.1199951,141.0800018,141.3500061,74064300
7/7/2022,143.6021423,146.3500061,146.5500031,143.2799988,143.2899933,66253700
8/7/2022,144.2791901,147.0399933,147.5500031,145,145.2599945,64547800
11/7/2022,142.1499329,144.8699951,146.6399994,143.7799988,145.6699982,63141600
12/7/2022,143.1213226,145.8600006,148.4499969,145.0500031,145.7599945,77588800
13/7/2022,142.7583008,145.4900055,146.4499969,142.1199951,142.9900055,71185600
14/7/2022,145.6823425,148.4700012,148.9499969,143.25,144.0800018,78140700
15/7/2022,147.3504181,150.1699982,150.8600006,148.1999969,149.7799988,76259900
18/7/2022,144.3086395,147.0700073,151.5700073,146.6999969,150.7400055,81420900
19/7/2022,148.1648407,151,151.2299957,146.9100037,147.9199982,82982400
20/7/2022,150.1665497,153.0399933,153.7200012,150.3699951,151.1199951,64823400
21/7/2022,152.4331665,155.3500061,155.5700073,151.9400024,154.5,65086600
22/7/2022,151.1968079,154.0899963,156.2799988,153.4100037,155.3899994,66675400
25/7/2022,150.0782471,152.9499969,155.0399933,152.2799988,154.0099945,53623900
26/7/2022,148.7535706,151.6000061,153.0899963,150.8000031,152.2599945,55138700
27/7/2022,153.8461304,156.7899933,157.3300018,152.1600037,152.5800018,78620700
28/7/2022,154.3956146,157.3500061,157.6399994,154.4100037,156.9799957,81378700
29/7/2022,159.4587097,162.5099945,163.6300049,159.5,161.2400055,101786900
1/8/2022,158.477478,161.5099945,163.5899963,160.8899994,161.0099945,67829400
2/8/2022,157.0056458,160.0099945,162.4100037,159.6300049,160.1000061,59907000
3/8/2022,163.0107727,166.1300049,166.5899963,160.75,160.8399963,82507500
4/8/2022,162.6967316,165.8099976,167.1900024,164.4299927,166.0099945,55474100
5/8/2022,162.4707794,165.3500061,165.8500061,163,163.2100067,56697000
8/8/2022,161.999115,164.8699951,167.8099976,164.1999969,166.3699951,60276900
9/8/2022,162.0482788,164.9199982,165.8200073,163.25,164.0200043,63135500
10/8/2022,166.293045,169.2400055,169.3399963,166.8999939,167.6799927,70170500
11/8/2022,165.5560913,168.4900055,170.9900055,168.1900024,170.0599976,57149200
12/8/2022,169.1032104,172.1000061,172.1699982,169.3999939,169.8200073,68039400
15/8/2022,170.1742554,173.1900024,173.3899994,171.3500061,171.5200043,54091700
16/8/2022,170.0170135,173.0299988,173.7100067,171.6600037,172.7799988,56377100
17/8/2022,171.5105591,174.5500031,176.1499939,172.5700073,172.7700043,79542000
18/8/2022,171.1175079,174.1499939,174.8999939,173.1199951,173.75,62290100
19/8/2022,168.5333405,171.5200043,173.7400055,171.3099976,173.0299988,70346300
22/8/2022,164.6521149,167.5700073,169.8600006,167.1399994,169.6900024,69026800
23/8/2022,164.3180237,167.2299957,168.7100067,166.6499939,167.0800018,54147100
24/8/2022,164.6128235,167.5299988,168.1100006,166.25,167.3200073,53841500
25/8/2022,167.0692902,170.0299988,170.1399994,168.3500061,168.7799988,51218200
26/8/2022,160.7708893,163.6199951,171.0500031,163.5599976,170.5700073,78961000
29/8/2022,158.5698853,161.3800049,162.8999939,159.8200073,161.1499939,73314000
30/8/2022,156.1428986,158.9100037,162.5599976,157.7200012,162.1300049,77906200
31/8/2022,154.4823456,157.2200012,160.5800018,157.1399994,160.3099976,87991100
